city;population.2019
New York city, New York;8336817
Los Angeles city, California;3979576
Chicago city, Illinois;2693976
Houston city, Texas;2320268
Phoenix city, Arizona;1680992
Philadelphia city, Pennsylvania;1584064
San Antonio city, Texas;1547253
San Diego city, California;1423851
Dallas city, Texas;1343573
San Jose city, California;1021795
Austin city, Texas;978908
Jacksonville city, Florida;911507
Fort Worth city, Texas;909585
Columbus city, Ohio;898553
Charlotte city, North Carolina;885708
San Francisco city, California;881549
Indianapolis city (balance), Indiana;876384
Seattle city, Washington;753675
Denver city, Colorado;727211
Washington city, District of Columbia;705749
Boston city, Massachusetts;692600
El Paso city, Texas;681728
Nashville-Davidson, Tennessee;670820
Detroit city, Michigan;670031
Oklahoma City city, Oklahoma;655057
Portland city, Oregon;654741
Las Vegas city, Nevada;651319
Memphis city, Tennessee;651073
Louisville/Jefferson County, Kentucky;617638
Baltimore city, Maryland;593490
Milwaukee city, Wisconsin;590157
Albuquerque city, New Mexico;560513
Tucson city, Arizona;548073
Fresno city, California;531576
Mesa city, Arizona;518012
Sacramento city, California;513624
Atlanta city, Georgia;506811
Kansas City city, Missouri;495327
Colorado Springs city, Colorado;478221
Omaha city, Nebraska;478192
Raleigh city, North Carolina;474069
Miami city, Florida;467963
Long Beach city, California;462628
Virginia Beach city, Virginia;449974
Oakland city, California;433031
Minneapolis city, Minnesota;429606
Tulsa city, Oklahoma;401190
Tampa city, Florida;399700
Arlington city, Texas;398854
New Orleans city, Louisiana;390144
Wichita city, Kansas;389938
Bakersfield city, California;384145
Cleveland city, Ohio;381009
Aurora city, Colorado;379289
Anaheim city, California;350365
Urban Honolulu CDP, Hawaii;345064
Santa Ana city, California;332318
Riverside city, California;331360
Corpus Christi city, Texas;326586
Lexington-Fayette urban county, Kentucky;323152
Henderson city, Nevada;320189
Stockton city, California;312697
St. Paul city, Minnesota;308096
Cincinnati city, Ohio;303940
St. Louis city, Missouri;300576
Pittsburgh city, Pennsylvania;300286
Greensboro city, North Carolina;296710
Lincoln city, Nebraska;289102
Anchorage municipality, Alaska;288000
Plano city, Texas;287677
Orlando city, Florida;287442
Irvine city, California;287401
Newark city, New Jersey;282011
Durham city, North Carolina;278993
Chula Vista city, California;274492
Toledo city, Ohio;272779
Fort Wayne city, Indiana;270402
St. Petersburg city, Florida;265351
Laredo city, Texas;262491
Jersey City city, New Jersey;262075
Chandler city, Arizona;261165
Madison city, Wisconsin;259680
Lubbock city, Texas;258862
Scottsdale city, Arizona;258069
Reno city, Nevada;255601
Buffalo city, New York;255284
Gilbert town, Arizona;254114
Glendale city, Arizona;252381
North Las Vegas city, Nevada;251974
Winston-Salem city, North Carolina;247945
Chesapeake city, Virginia;244835
Norfolk city, Virginia;242742
Fremont city, California;241110
Garland city, Texas;239928
Irving city, Texas;239798
Hialeah city, Florida;233339
Richmond city, Virginia;230436
Boise City city, Idaho;228959
Spokane city, Washington;222081
Baton Rouge city, Louisiana;220236
Tacoma city, Washington;217827
San Bernardino city, California;215784
Modesto city, California;215196
Fontana city, California;214547
Des Moines city, Iowa;214237
Moreno Valley city, California;213055
Santa Clarita city, California;212979
Fayetteville city, North Carolina;211657
Birmingham city, Alabama;209403
Oxnard city, California;208881
Rochester city, New York;205695
Port St. Lucie city, Florida;201846
Grand Rapids city, Michigan;201013
Huntsville city, Alabama;200574
Salt Lake City city, Utah;200567
Frisco city, Texas;200490
Yonkers city, New York;200370
Amarillo city, Texas;199371
Glendale city, California;199303
Huntington Beach city, California;199223
McKinney city, Texas;199177
Montgomery city, Alabama;198525
Augusta-Richmond County, Georgia;197888
Aurora city, Illinois;197757
Akron city, Ohio;197597
Little Rock city, Arkansas;197312
Tempe city, Arizona;195805
Columbus city, Georgia;195769
Overland Park city, Kansas;195494
Grand Prairie city, Texas;194543
Tallahassee city, Florida;194500
Cape Coral city, Florida;194495
Mobile city, Alabama;188720
Knoxville city, Tennessee;187603
Shreveport city, Louisiana;187112
Worcester city, Massachusetts;185428
Ontario city, California;185010
Vancouver city, Washington;184463
Sioux Falls city, South Dakota;183793
Chattanooga city, Tennessee;182799
Brownsville city, Texas;182781
Fort Lauderdale city, Florida;182437
Providence city, Rhode Island;179883
Newport News city, Virginia;179225
Rancho Cucamonga city, California;177603
Santa Rosa city, California;176753
Peoria city, Arizona;175961
Oceanside city, California;175742
Elk Grove city, California;174775
Salem city, Oregon;174365
Pembroke Pines city, Florida;173591
Eugene city, Oregon;172622
Garden Grove city, California;171644
Cary town, North Carolina;170282
Fort Collins city, Colorado;170243
Corona city, California;169868
Springfield city, Missouri;167882
Jackson city, Mississippi;160628
Alexandria city, Virginia;159428
Hayward city, California;159203
Clarksville city, Tennessee;158146
Lakewood city, Colorado;157935
Lancaster city, California;157601
Salinas city, California;155465
Palmdale city, California;155079
Hollywood city, Florida;154817
Springfield city, Massachusetts;153606
Macon-Bibb County, Georgia;153159
Kansas City city, Kansas;152960
Sunnyvale city, California;152703
Pomona city, California;151691
Killeen city, Texas;151666
Escondido city, California;151625
Pasadena city, Texas;151227
Naperville city, Illinois;148449
Bellevue city, Washington;148164
Joliet city, Illinois;147344
Murfreesboro city, Tennessee;146900
Midland city, Texas;146038
Rockford city, Illinois;145609
Paterson city, New Jersey;145233
Savannah city, Georgia;144464
Bridgeport city, Connecticut;144399
Torrance city, California;143592
McAllen city, Texas;143268
Syracuse city, New York;142327
Surprise city, Arizona;141664
Denton city, Texas;141541
Roseville city, California;141500
Thornton city, Colorado;141464
Miramar city, Florida;141191
Pasadena city, California;141029
Mesquite city, Texas;140937
Olathe city, Kansas;140545
Dayton city, Ohio;140407
Carrollton city, Texas;139248
Waco city, Texas;139236
Orange city, California;138669
Fullerton city, California;138632
Charleston city, South Carolina;137566
West Valley City city, Utah;135248
Visalia city, California;134605
Hampton city, Virginia;134510
Gainesville city, Florida;133997
Warren city, Michigan;133943
Coral Springs city, Florida;133759
Cedar Rapids city, Iowa;133562
Round Rock city, Texas;133372
Sterling Heights city, Michigan;132438
Kent city, Washington;132319
Columbia city, South Carolina;131674
Santa Clara city, California;130365
New Haven city, Connecticut;130250
Stamford city, Connecticut;129638
Concord city, California;129295
Elizabeth city, New Jersey;129216
Athens-Clarke County, Georgia;126913
Thousand Oaks city, California;126813
Lafayette city, Louisiana;126185
Simi Valley city, California;125613
Topeka city, Kansas;125310
Norman city, Oklahoma;124880
Fargo city, North Dakota;124662
Wilmington city, North Carolina;123744
Abilene city, Texas;123420
Odessa city, Texas;123334
Columbia city, Missouri;123195
Pearland city, Texas;122460
Victorville city, California;122385
Hartford city, Connecticut;122105
Vallejo city, California;121692
Allentown city, Pennsylvania;121442
Berkeley city, California;121363
Richardson city, Texas;121323
Arvada city, Colorado;121272
Ann Arbor city, Michigan;119980
Rochester city, Minnesota;118935
Cambridge city, Massachusetts;118927
Sugar Land city, Texas;118488
Lansing city, Michigan;118210
Evansville city, Indiana;117979
College Station city, Texas;117911
Fairfield city, California;117133
Clearwater city, Florida;116946
Beaumont city, Texas;116825
Independence city, Missouri;116672
Provo city, Utah;116618
West Jordan city, Utah;116480
Murrieta city, California;116223
Palm Bay city, Florida;115552
El Monte city, California;115487
Carlsbad city, California;115382
North Charleston city, South Carolina;115382
Temecula city, California;114761
Clovis city, California;114584
Springfield city, Illinois;114230
Meridian city, Idaho;114161
Westminster city, Colorado;113166
Costa Mesa city, California;113003
High Point city, North Carolina;112791
Manchester city, New Hampshire;112673
Pueblo city, Colorado;112361
Lakeland city, Florida;112136
Pompano Beach city, Florida;112118
West Palm Beach city, Florida;111955
Antioch city, California;111502
Everett city, Washington;111475
Downey city, California;111126
Lowell city, Massachusetts;110997
Centennial city, Colorado;110937
Elgin city, Illinois;110849
Richmond city, California;110567
Peoria city, Illinois;110417
Broken Arrow city, Oklahoma;110198
Miami Gardens city, Florida;110001
Billings city, Montana;109577
Jurupa Valley city, California;109527
Sandy Springs city, Georgia;109452
Gresham city, Oregon;109381
Lewisville city, Texas;109212
Hillsboro city, Oregon;109128
San Buenaventura (Ventura) city, California;109106
Greeley city, Colorado;108649
Inglewood city, California;108151
Waterbury city, Connecticut;107568
League City city, Texas;107536
Santa Maria city, California;107263
Tyler city, Texas;106985
Davie town, Florida;106306
Daly City city, California;106280
Boulder city, Colorado;105673
Allen city, Texas;105623
West Covina city, California;105101
Sparks city, Nevada;105006
Wichita Falls city, Texas;104683
Green Bay city, Wisconsin;104578
San Mateo city, California;104430
Norwalk city, California;103949
Rialto city, California;103526
Las Cruces city, New Mexico;103432
Chico city, California;103301
El Cajon city, California;102708
Burbank city, California;102511
South Bend city, Indiana;102026
Renton city, Washington;101751
Vista city, California;101638
Davenport city, Iowa;101590
Edinburg city, Texas;101170
Tuscaloosa city, Alabama;101129
Carmel city, Indiana;101068
Spokane Valley city, Washington;101060
San Angelo city, Texas;101004
Vacaville city, California;100670
Bend city, Oregon;100421
Kenosha city, Wisconsin;99944
Boca Raton city, Florida;99805
Lee's Summit city, Missouri;99357
Nampa city, Idaho;99277
Rio Rancho city, New Mexico;99178
South Fulton city, Georgia;99155
Roanoke city, Virginia;99143
Beaverton city, Oregon;99037
Yuma city, Arizona;98285
Lawrence city, Kansas;98193
Orem city, Utah;97828
Longmont city, Colorado;97261
San Marcos city, California;96664
Albany city, New York;96460
Sandy city, Utah;96380
Concord city, North Carolina;96341
Federal Way city, Washington;96289
Hesperia city, California;95750
Brockton city, Massachusetts;95708
Compton city, California;95605
Flint city, Michigan;95538
Erie city, Pennsylvania;95508
New Bedford city, Massachusetts;95363
Fishers city, Indiana;95310
Sunrise city, Florida;95166
Roswell city, Georgia;94763
Menifee city, California;94756
Tracy city, California;94740
Plantation city, Florida;94580
Quincy city, Massachusetts;94470
Portsmouth city, Virginia;94398
Mission Viejo city, California;94381
Chino city, California;94371
Lynn city, Massachusetts;94299
Edmond city, Oklahoma;94054
Dearborn city, Michigan;93932
Livonia city, Michigan;93665
Yakima city, Washington;93637
South Gate city, California;93444
Greenville city, North Carolina;93400
Lawton city, Oklahoma;93025
Kirkland city, Washington;93010
Asheville city, North Carolina;92870
Deltona city, Florida;92757
Redding city, California;92590
Bellingham city, Washington;92314
Suffolk city, Virginia;92108
Indio city, California;91765
Mount Pleasant town, South Carolina;91684
Carson city, California;91394
Santa Barbara city, California;91364
Conroe city, Texas;91079
Westminster city, California;90643
Santa Monica city, California;90401
New Braunfels city, Texas;90209
Livermore city, California;90189
Palm Coast city, Florida;89800
St. George city, Utah;89587
Fall River city, Massachusetts;89541
Nashua city, New Hampshire;89355
Champaign city, Illinois;88909
Miami Beach city, Florida;88885
Norwalk city, Connecticut;88816
San Leandro city, California;88815
O'Fallon city, Missouri;88673
Newton city, Massachusetts;88414
Reading city, Pennsylvania;88375
Avondale city, Arizona;87931
Fort Smith city, Arkansas;87891
Citrus Heights city, California;87796
Ogden city, Utah;87773
Fayetteville city, Arkansas;87590
Fort Myers city, Florida;87103
Goodyear city, Arizona;86840
Bryan city, Texas;86276
Waukegan city, Illinois;86075
Hawthorne city, California;86068
Redwood City city, California;85925
Hoover city, Alabama;85768
Bloomington city, Indiana;85755
Duluth city, Minnesota;85618
Lake Forest city, California;85531
Hemet city, California;85334
Whittier city, California;85098
Clifton city, New Jersey;85052
Largo city, Florida;84948
Bloomington city, Minnesota;84943
Danbury city, Connecticut;84694
Santa Fe city, New Mexico;84683
Johns Creek city, Georgia;84579
Newport Beach city, California;84534
Kennewick city, Washington;84347
Mission city, Texas;84331
Milpitas city, California;84196
Troy city, Michigan;84092
Chino Hills city, California;83853
Alhambra city, California;83750
Merced city, California;83676
Trenton city, New Jersey;83203
Franklin city, Tennessee;83097
Medford city, Oregon;83072
Melbourne city, Florida;83029
Manteca city, California;83028
Mountain View city, California;82739
Sioux City city, Iowa;82651
Lynchburg city, Virginia;82168
Buena Park city, California;81788
Pleasanton city, California;81777
Longview city, Texas;81631
Westland city, Michigan;81511
Auburn city, Washington;81464
Cranston city, Rhode Island;81456
Somerville city, Massachusetts;81360
Folsom city, California;81328
Springdale city, Arkansas;81125
Deerfield Beach city, Florida;81066
Warwick city, Rhode Island;81004
Cicero town, Illinois;80796
Farmington Hills city, Michigan;80612
Brooklyn Park city, Minnesota;80389
Lawrence city, Massachusetts;80028
Plymouth city, Minnesota;79768
Buckeye city, Arizona;79620
Georgetown city, Texas;79604
Cedar Park city, Texas;79462
Tustin city, California;79348
Lakewood city, California;79307
Perris city, California;79291
Flower Mound town, Texas;79135
Pharr city, Texas;79112
Loveland city, Colorado;78877
Boynton Beach city, Florida;78679
New Rochelle city, New York;78557
Temple city, Texas;78439
Lake Charles city, Louisiana;78396
Jonesboro city, Arkansas;78394
Napa city, California;78130
Parma city, Ohio;78103
Layton city, Utah;78014
Alameda city, California;77624
Warner Robins city, Georgia;77617
Rapid City city, South Dakota;77503
Bloomington city, Illinois;77330
Gastonia city, North Carolina;77273
Baytown city, Texas;77192
Upland city, California;77140
Racine city, Wisconsin;76760
Scranton city, Pennsylvania;76653
South Jordan city, Utah;76598
Bellflower city, California;76435
Kalamazoo city, Michigan;76200
San Ramon city, California;75995
Bethlehem city, Pennsylvania;75815
Wyoming city, Michigan;75667
Hammond city, Indiana;75522
Missoula city, Montana;75516
Missouri City city, Texas;75457
Pasco city, Washington;75432
Baldwin Park city, California;75251
Iowa City city, Iowa;75130
Rancho Cordova city, California;75087
Rock Hill city, South Carolina;75048
Flagstaff city, Arizona;75038
Gary city, Indiana;74879
St. Joseph city, Missouri;74875
Arlington Heights village, Illinois;74760
Bolingbrook village, Illinois;74545
Rochester Hills city, Michigan;74516
Framingham city, Massachusetts;74416
Union City city, California;74107
Appleton city, Wisconsin;74098
Turlock city, California;73631
Camden city, New Jersey;73562
Bismarck city, North Dakota;73529
Evanston city, Illinois;73473
Apple Valley town, California;73453
Schaumburg village, Illinois;72887
Woodbury city, Minnesota;72828
Kissimmee city, Florida;72717
Southfield city, Michigan;72689
Maple Grove city, Minnesota;72622
Pittsburg city, California;72588
New Britain city, Connecticut;72495
Jacksonville city, North Carolina;72436
Mansfield city, Texas;72419
Waukesha city, Wisconsin;72299
Frederick city, Maryland;72244
Albany city, Georgia;72130
Pawtucket city, Rhode Island;72117
Redmond city, Washington;71929
Lauderhill city, Florida;71868
Lafayette city, Indiana;71721
Gulfport city, Mississippi;71705
Redlands city, California;71513
Weston city, Florida;71166
St. Charles city, Missouri;71028
Decatur city, Illinois;70746
North Port city, Florida;70724
North Richland Hills city, Texas;70670
Greenville city, South Carolina;70635
Bowling Green city, Kentucky;70543
Broomfield city, Colorado;70465
Canton city, Ohio;70447
Marysville city, Washington;70298
Walnut Creek city, California;70166
Wilmington city, Delaware;70166
Camarillo city, California;69888
Lynwood city, California;69887
Lehi city, Utah;69724
Passaic city, New Jersey;69703
Homestead city, Florida;69523
Delray Beach city, Florida;69451
Davis city, California;69413
Lake Elsinore city, California;69283
Daytona Beach city, Florida;69186
Dothan city, Alabama;68941
Rocklin city, California;68823
Eau Claire city, Wisconsin;68802
Rogers city, Arkansas;68669
Castle Rock town, Colorado;68484
St. Cloud city, Minnesota;68462
Bossier City city, Louisiana;68159
Rockville city, Maryland;68079
Muncie city, Indiana;67999
Gaithersburg city, Maryland;67985
Union City city, New Jersey;67982
West Des Moines city, Iowa;67899
South San Francisco city, California;67789
Yorba Linda city, California;67644
Conway city, Arkansas;67638
Lodi city, California;67586
Palatine village, Illinois;67482
Ankeny city, Iowa;67355
Mount Vernon city, New York;67345
Rowlett city, Texas;67339
Waterloo city, Iowa;67328
Lakeville city, Minnesota;67317
Alpharetta city, Georgia;67213
Jackson city, Tennessee;67191
Yuba City city, California;67010
Oshkosh city, Wisconsin;67004
Victoria city, Texas;66916
Johnson City city, Tennessee;66906
Redondo Beach city, California;66749
Tamarac city, Florida;66721
Laguna Niguel city, California;66385
Eagan city, Minnesota;66372
Kenner city, Louisiana;66340
Auburn city, Alabama;66259
Ames city, Iowa;66258
Portland city, Maine;66215
North Little Rock city, Arkansas;65903
Sammamish city, Washington;65892
Madera city, California;65860
Shawnee city, Kansas;65807
Jupiter town, Florida;65791
Doral city, Florida;65741
Blaine city, Minnesota;65607
Tulare city, California;65496
Youngstown city, Ohio;65469
Wellington village, Florida;65398
Pflugerville city, Texas;65380
Palo Alto city, California;65364
Schenectady city, New York;65273
Harlingen city, Texas;65022
Bayonne city, New Jersey;64897
Eden Prairie city, Minnesota;64893
Port Orange city, Florida;64842
Dublin city, California;64826
San Marcos city, Texas;64776
Noblesville city, Indiana;64668
Santa Cruz city, California;64608
Janesville city, Wisconsin;64575
San Clemente city, California;64558
Brentwood city, California;64474
East Orange city, New Jersey;64367
Cheyenne city, Wyoming;64235
Eastvale city, California;64157
Chapel Hill town, North Carolina;64051
Haverhill city, Massachusetts;64014
Lorain city, Ohio;63855
Grand Junction city, Colorado;63597
Springfield city, Oregon;63230
Coon Rapids city, Minnesota;62998
Idaho Falls city, Idaho;62888
North Miami city, Florida;62822
Encinitas city, California;62709
Skokie village, Illinois;62700
Leander city, Texas;62608
Waltham city, Massachusetts;62495
Council Bluffs city, Iowa;62166
Hamilton city, Ohio;62082
Moore city, Oklahoma;62055
Pico Rivera city, California;62027
Montebello city, California;61954
Millcreek city, Utah;61450
Sanford city, Florida;61448
National City city, California;61394
Burnsville city, Minnesota;61339
Coconut Creek city, Florida;61248
Lakewood city, Washington;61037
Taylor city, Michigan;60922
Novi city, Michigan;60896
Marietta city, Georgia;60867
Ocala city, Florida;60786
Terre Haute city, Indiana;60622
Woodland city, California;60548
Petaluma city, California;60520
La Habra city, California;60513
Malden city, Massachusetts;60470
Commerce City city, Colorado;60336
Owensboro city, Kentucky;60131
Bristol city, Connecticut;59947
West Allis city, Wisconsin;59890
Taylorsville city, Utah;59805
Utica city, New York;59750
Monterey Park city, California;59669
Bonita Springs city, Florida;59637
Porterville city, California;59599
Greenwood city, Indiana;59458
Bartlett city, Tennessee;59440
Bradenton city, Florida;59439
Vineland city, New Jersey;59439
Pontiac city, Michigan;59438
Meriden city, Connecticut;59395
Gardena city, California;59329
Apex town, North Carolina;59300
Royal Oak city, Michigan;59277
Cupertino city, California;59276
Lancaster city, Pennsylvania;59265
La Mesa city, California;59249
Gilroy city, California;59032
St. Clair Shores city, Michigan;58984
Des Plaines city, Illinois;58899
Springfield city, Ohio;58877
Corvallis city, Oregon;58856
Margate city, Florida;58796
Bowie city, Maryland;58643
Casa Grande city, Arizona;58632
Caldwell city, Idaho;58481
San Rafael city, California;58440
Great Falls city, Montana;58434
Sarasota city, Florida;58285
Richland city, Washington;58225
St. Peters city, Missouri;58212
Hendersonville city, Tennessee;58113
White Plains city, New York;58109
Huntersville town, North Carolina;58098
Santee city, California;58081
Kokomo city, Indiana;58020
Arcadia city, California;57939
Casper city, Wyoming;57931
Dubuque city, Iowa;57882
Orland Park village, Illinois;57857
Weymouth Town city, Massachusetts;57746
Parker town, Colorado;57706
Palm Beach Gardens city, Florida;57704
Hanford city, California;57703
Huntington Park city, California;57509
Taunton city, Massachusetts;57464
Midwest City city, Oklahoma;57407
Medford city, Massachusetts;57341
Euless city, Texas;57197
Shoreline city, Washington;57027
Smyrna city, Georgia;56666
Pocatello city, Idaho;56637
Valdosta city, Georgia;56457
Carson City, Nevada;55916
Lake Havasu City city, Arizona;55865
Grand Forks city, North Dakota;55839
Blue Springs city, Missouri;55829
Southaven city, Mississippi;55780
Tinley Park village, Illinois;55773
Diamond Bar city, California;55720
New Brunswick city, New Jersey;55676
Lenexa city, Kansas;55625
Brookhaven city, Georgia;55554
Novato city, California;55516
Tigard city, Oregon;55514
Highland city, California;55417
Fountain Valley city, California;55357
Dearborn Heights city, Michigan;55353
Albany city, Oregon;55338
Grapevine city, Texas;55281
Apple Valley city, Minnesota;55135
Chicopee city, Massachusetts;55126
Hempstead village, New York;55113
Oak Lawn village, Illinois;55022
Cathedral City city, California;55007
Bentonville city, Arkansas;54909
Stonecrest city, Georgia;54903
Kettering city, Ohio;54855
Colton city, California;54824
Anderson city, Indiana;54765
West Haven city, Connecticut;54620
Burlington city, North Carolina;54606
Manhattan city, Kansas;54604
St. Cloud city, Florida;54579
Normal town, Illinois;54469
Decatur city, Alabama;54445
Berwyn city, Illinois;54391
Port Arthur city, Texas;54280
Kingsport city, Tennessee;54127
Minnetonka city, Minnesota;54064
Rosemead city, California;54058
Paramount city, California;53955
Rocky Mount city, North Carolina;53922
Yucaipa city, California;53921
Watsonville city, California;53856
Elyria city, Ohio;53757
Leesburg town, Virginia;53727
Mount Prospect village, Illinois;53719
Pinellas Park city, Florida;53637
Delano city, California;53573
Bellevue city, Nebraska;53544
West Sacramento city, California;53519
Apopka city, Florida;53447
Palm Desert city, California;53275
Milford city (balance), Connecticut;53195
Little Elm city, Texas;53126
Revere city, Massachusetts;53073
Peabody city, Massachusetts;53070
Wylie city, Texas;53067
Harrisonburg city, Virginia;53016
DeSoto city, Texas;52988
Pensacola city, Florida;52975
Olympia city, Washington;52882
Edina city, Minnesota;52857
Wheaton city, Illinois;52745
West New York town, New Jersey;52723
Hoboken city, New Jersey;52677
Lacey city, Washington;52592
Summerville town, South Carolina;52549
Coeur d'Alene city, Idaho;52414
Oak Park village, Illinois;52381
Elkhart city, Indiana;52358
Maricopa city, Arizona;52127
Kentwood city, Michigan;51898
Madison city, Alabama;51593
Smyrna town, Tennessee;51586
Glendora city, California;51544
Logan city, Utah;51542
Burien city, Washington;51500
Perth Amboy city, New Jersey;51390
Herriman city, Utah;51348
Grand Island city, Nebraska;51267
Placentia city, California;51233
La Crosse city, Wisconsin;51227
Battle Creek city, Michigan;51093
Beaumont city, California;51063
Collierville town, Tennessee;51040
West Lafayette city, Indiana;50996
Florissant city, Missouri;50952
Hoffman Estates village, Illinois;50932
Joplin city, Missouri;50925
Queen Creek town, Arizona;50890
Aliso Viejo city, California;50887
Kannapolis city, North Carolina;50841
Methuen Town city, Massachusetts;50706
Galveston city, Texas;50446
Mishawaka city, Indiana;50363
Plainfield city, New Jersey;50317
Newark city, Ohio;50315
Stillwater city, Oklahoma;50299
Twin Falls city, Idaho;50197
Texas City city, Texas;50094
Cerritos city, California;49859
Coral Gables city, Florida;49700
Enid city, Oklahoma;49688
Lakewood city, Ohio;49678
Troy city, New York;49154
Saginaw city, Michigan;48115
Niagara Falls city, New York;47720
Charleston city, West Virginia;46536
